,rushhour,rushhour,rushhour,midday,midday,midday
,bike_r_t,car_r_t,pt_r_t,bike_m_t,car_m_t,pt_m_t
city,,,,,,
Brussels,95.1564366367043,0.8830543218814849,3.790139161303605,91.68528368938425,4.4953147961398425,3.649031634365294
York,95.03443172195585,4.212939883908979,0.670263183879316,95.22170029282677,4.362650688511076,0.33328380840631155
Wellington,92.5713484657451,6.570852850758037,0.857798683496858,68.40582688383664,30.518059941942766,1.0761131742205914
Graz,91.35973175233735,8.583603062855103,0.0,89.88444158380594,10.058893231386506,0.0
Paris,90.86707797774845,4.965474073106942,2.603871757946263,81.63460897206046,15.364024416984304,1.4377904197568936
Luxembourg,88.90989672215383,1.6943096085344747,9.395793669311704,87.29246023423373,4.340206692136307,8.36733307362997
Aarhus,86.9230007373321,12.007889611270157,1.0170508828278981,88.13315498473906,10.106840415045635,1.7079458316454563
Bern,86.0955951581005,10.18291773596024,3.7214871059392656,88.18721925609476,8.761277550882925,3.0515031930223135
Dublin,85.81140835653154,0.03577920165141932,14.15281244181703,81.59139343611463,6.686518633418922,11.72208793046645
Utrecht,85.47776083907625,9.921907411667098,4.264123001886639,82.62888666007969,13.465160864018557,3.569743728531743
Warsaw,77.92218360188006,11.46245574682626,10.537494075979462,43.447800888679,53.96428496893279,2.510047567074012
Budapest,76.52390106514237,11.799663867409006,11.596308379935484,57.50805261388224,33.6598008481436,8.752019850461025
Prague,74.57085179634994,24.08720891915893,0.9661377514656786,48.56647346757582,50.64943905030904,0.40828594908969035
Madrid,73.67638990799459,17.17245737861977,8.81844408955799,47.31540269398337,49.27359888898917,3.0782897931997995
Vienna,72.45465874259722,7.087517214090283,20.431363843550024,65.26852191127647,20.332737654690995,14.37228023427006
Marseille,70.256673681506,28.733292719619286,0.8387631210381172,53.22746077911794,45.84080389184951,0.7604648511959489
Barcelona,68.53323618425307,16.694888347240273,14.363540559010868,60.75798802401937,26.534699405317053,12.298977661167797
Melbourne,66.9264724610671,23.791134018686844,9.275249455510215,53.23943908685934,41.207752853469856,5.545663994934965
Delhi [New Delhi],66.74467021216626,0.21736807777909653,32.944805054544524,70.04126611454278,0.2992905617906941,29.566286668156405
Copenhagen,66.72845497116225,16.923048604307834,16.22868185675171,58.938206933733326,29.28742374962003,11.654554748868419
Oslo,62.49315128707573,18.680200644933866,18.605746929402763,53.10714450581761,34.98613292477303,11.685821430821727
Amsterdam,59.77985007535182,31.72439583648819,8.300626574510531,55.803378891596964,35.80740929608163,8.194084298671944
Riga,58.255654343820254,41.162784376980454,0.4983634930122778,55.1875662113109,43.97065823573036,0.7585777667717225
Gothenburg,56.725788435010436,32.462040650367015,10.715378594993842,54.08886978654355,35.97356773888525,9.840770154942502
Berlin,56.21483036650968,17.223788787360608,26.52143774500561,45.6371850482701,35.25312986319759,19.06974198740822
Stockholm,54.61816636700767,41.91016058237219,3.4385245350638685,44.05499061369591,53.89655898269131,2.015301888056512
Tallinn,53.79153904247607,34.62574479619873,11.260209636920136,55.19781905846207,36.278158904872065,8.201515512260794
London,52.56654230961665,0.28239074703798733,47.14804932001989,54.744453192032395,0.8021575008949591,44.45037168374717
Hamburg,52.08804293401358,29.65828964914851,18.133291951170634,41.349987011865835,46.752249490188206,11.777388032278688
Birmingham,49.697933309732406,33.75823725471194,16.512600147749197,43.801503923824896,43.9955962272774,12.171670561091243
Helsinki,45.8834530850582,48.00362719589793,5.936444937685087,42.694210366125354,52.80503489653911,4.324279955976748
Sydney,45.765081100205265,36.045452149695116,18.15913517698103,35.45743880062137,42.53850183562597,21.973727790634072
Adelaide,45.126497619234115,49.60404430727705,5.269458073488838,38.690487669953875,57.42422542004817,3.88528690999796
Salvador,39.233001293543666,60.6786331161483,0.0,89.6264945098294,10.285139899862559,0.0
Auckland,37.07113715331244,62.66981369774053,0.25904914894703024,23.132615044587375,76.13723415267211,0.7301508027405207
Mexico City,33.12154003811049,64.70900623576995,2.1686145326460777,53.01407141651085,43.083622601366834,3.9014667886488295
Toronto,32.580365231759494,65.99283065051962,1.4173673861471967,43.73562030051622,54.38579587618262,1.8691470917274828
Lisbon,31.72675566338014,22.54183165091912,45.493561760731566,38.541045623600276,23.275905142228847,37.94519830920171
São Paulo,30.892428644900345,67.12294459355546,1.8660602014723353,86.69510940358556,6.281563501981598,6.904760534360981
New York,28.212212118574154,56.05568666845687,15.71443644931379,42.00752655731384,15.406373463422495,42.56843521560849
Buenos Aires,27.92646777675222,71.21304910257997,0.2702026261659178,93.46876730795837,5.649500521685526,0.2702026261659178
Philadelphia,27.571462008800868,56.897441565127615,15.526040797473883,34.29144991578578,34.7012864927994,31.002207962817174
Mumbai,27.109942665169413,0.8404726985846527,71.63840692507036,25.598232946650583,0.6825299780826936,73.30805936409114
Chicago,26.53626317960051,72.03818696028041,1.4255498601190733,33.07799810228762,61.35458457766856,5.567417320043808
Kuala Lumpur,25.295635524003014,73.59487362347795,0.012019386567470612,15.817215214306119,83.07329393317484,0.012019386567470612
Perth,21.8698545098313,75.89838716959119,2.2317583205775104,19.4766371902568,77.733275330512,2.790087479231209
Bogota,20.95984419382348,79.02211765136353,0.0,20.95984419382348,79.02211765136353,0.0
Calgary,19.69629835539143,78.71033545276143,1.5933661918471427,19.176839119501615,79.01072259857665,1.8124382819217424
Portland,18.768219153577107,81.09945105694005,0.12009268355615346,18.859952323600464,81.09622236491218,0.03158820556066834
Montreal,17.635054443937033,81.68948729391978,0.6541893241368527,37.20820762554822,62.66349587313533,0.10702756331012035
Rio de Janeiro,17.240604212517642,62.43125564390494,20.17271223894935,58.1112805158741,2.112003809763202,39.621267001081925
San Antonio,13.501581277244771,86.17371928628451,0.3246994364707233,14.630336713245413,85.25629279485413,0.11337049190045759
Dallas,12.855469188849225,87.14453081115077,0.0,15.36356758817679,84.60998226338408,0.02645014843912185
Houston,12.679125433611652,86.90447958841774,0.3990876373545932,14.353148108136264,85.34969447659778,0.27985007464995104
Los Angeles,10.550665184102133,88.18699704081936,1.2317579175436355,10.669812380797682,87.83820519026445,1.4614025714029866
Phoenix,9.94767725313811,89.90835673434998,0.14396601251191202,10.980082670693509,88.96981268494818,0.05010464435830651
