city,continent,order,country,ctr_name,ctr_lat,ctr_lon,cellsanalysed,total_km,covered_km,total_pop,covered_pop
Vienna,EUR,1,AUT,Rathaus Wien,48.2108,16.35784,4381.0,392.0776,273.9909,1853160.5009,1579679.5141
Graz,EUR,2,AUT,Hauptplatz Graz,47.06955,15.433829999999999,1168.0,72.978,72.978,260852.5752,260852.5752
Brussels,EUR,1,BEL,Brussels Town hall,50.84642,4.35232,3747.0,266.2076,234.4322,1378967.355,1321531.6246
Berlin,EUR,1,DEU,Old City Hall,52.51687,13.4116,5187.0,686.8354,324.645,3265934.7664,1891237.8047
Hamburg,EUR,2,DEU,Rathaus,53.55035,9.99232,4912.0,519.6633,307.4532,1592919.517,1085424.0519
Copenhagen,EUR,1,DNK,Københavns Rådhus,55.675369999999994,12.569360000000001,3090.0,352.7974,193.5563,1223020.7723,935695.2601
Aarhus,EUR,2,DNK,Aarhus Rådhus,56.1528,10.20021,1151.0,72.0723,72.0723,208578.9439,208578.9439
Madrid,EUR,1,ESP,Ajuntamiento de Madrid,40.41831,-3.6926,4949.0,779.6009,308.8202,4888719.782,2878640.1969
Barcelona,EUR,2,ESP,Ajuntament de Barcelona,41.38228,2.17532,2540.0,543.18,158.8194,3823064.1051,2332555.3785
Paris,EUR,1,FRA,Hôtel de Ville,48.85595,2.35167,5178.0,1638.2474,324.0474,9685234.84,4753384.4877
Marseille,EUR,2,FRA,Mairie de Marseille,43.29657,5.364809999999999,2700.0,211.8827,168.8907,903670.5704,823988.56
London,EUR,1,GBR,City Hall,51.5055,-0.1049,5121.0,1841.2089,320.6048,9595697.1853,3355404.2434
Birmingham,EUR,2,GBR,Town Hall,52.479490000000006,-1.90372,5101.0,668.7039,319.0882,2421750.4605,1346368.2151
York,EUR,2,GBR,Cliffords Tower,53.9558,-1.08015,640.0,40.0658,40.0658,146550.2504,146550.2504
Luxembourg,EUR,1,LUX,Hôtel de Ville,49.61031,6.130240000000001,671.0,42.0558,42.0558,118802.3158,118802.3158
Amsterdam,EUR,1,NLD,Stadsloket Centrum,52.36822,4.9,3761.0,345.4439,235.3679,1125519.3599,907628.1315
Utrecht,EUR,2,NLD,Stadshuis,52.09189,5.1192,1864.0,124.1652,116.6554,444327.7367,427353.1112
Stockholm,EUR,1,SWE,Stadshus,59.32773,18.053620000000002,3669.0,352.539,230.027,1302139.7747,982300.8264
Gothenburg,EUR,2,SWE,Börsen Göteborg,57.70685,11.96466,2637.0,179.5716,165.2178,494786.9576,463521.5341
Helsinki,EUR,1,FIN,Helsingin kaupungintalo,60.168119999999995,24.95299,2241.0,301.0648,140.4709,904590.0474,533010.7808
Milan,EUR,1,ITA,Comune di Milano,45.46676,9.19041,,753.4897,285.9264,3006098.2942,1693559.6558
Rome,EUR,2,ITA,Municipio Roma I,41.89018,12.48053,,481.7568,286.7405,2339827.041,1855880.4766
Oslo,EUR,1,NOR,Rådhuset,59.91205,10.73369,2619.0,222.9913,164.141,780239.2398,641078.8491
Warsaw,EUR,2,POL,Urząd Dzielnicy Śródmieście m. st. Warszawy,52.22801,21.01053,4776.0,425.3683,298.759,1785692.6872,1466915.2825
Lisbon,EUR,1,PRT,Paços do Concelho - Sede da CML,38.70815,-9.138589999999999,2637.0,409.5757,164.4396,1955647.6046,1006902.2661
Bern,EUR,1,CHE,Berner Rathaus,46.9488,7.4522699999999995,1072.0,66.999,66.999,197263.3826,197263.3826
Prague,EUR,1,CZE,Magistrát Hlavního města Prahy,50.08717,14.41784,3833.0,295.1211,239.6615,1124028.7587,967202.7927
Tallinn,EUR,1,EST,Tallinna Kesklinna Valitsus,59.43938000000001,24.740679999999998,1463.0,91.6969,91.6969,343666.1708,343666.1708
Budapest,EUR,1,HUN,Polgármesteri Hivatal Budapest I. kerület,47.50442,19.02881,3638.0,433.1167,227.6304,1754341.4335,1251992.2608
Dublin,EUR,1,IRL,Dublin City Council,53.34413000000001,-6.271719999999999,3479.0,275.2795,217.8559,1002140.0644,832477.9925
Riga,EUR,1,LVA,Rīgas dome,56.94783,24.106379999999998,2556.0,165.4403,160.1761,555354.0171,545453.0082
Perth,OCE,3,AUS,Perth Town Hall,-31.95662,115.86073999999999,5061.0,737.1236,315.2148,1253469.6717,548869.5546
Sydney,OCE,3,AUS,Sydney Town Hall,-33.87307,151.20619,3963.0,1249.5498,247.0291,3736597.6527,1086546.2971
Melbourne,OCE,3,AUS,Melbourne Town Hall,-37.815129999999996,144.96681,4515.0,1545.34,281.71,3457293.8489,949785.8745
Adelaide,OCE,3,AUS,Adelaide Town Hall,-34.92607,138.60017,4184.0,482.2468,260.9962,927555.5367,552102.2748
Auckland,OCE,3,NZL,Auckland Town Hall,-36.852990000000005,174.76338,2612.0,403.4268,162.9708,1031244.9195,457008.1305
Wellington,OCE,3,NZL,Wellington Town Hall,-41.28934,174.77733,713.0,44.5257,44.5257,128174.6001,128174.6001
Mumbai,ASI,3,IND,The Asiatic Society of Mumbai Town Hall,18.93186,72.83609,899.0,1003.016,55.9176,21745093.9269,2502549.2152
Delhi [New Delhi],ASI,3,IND,Ghantaghar Chandni Chowk,28.65713,77.22743,5211.0,2465.8772,324.8128,26583416.5379,7543966.916
Kuala Lumpur,ASI,3,MYS,Dewan Bandaraya Kuala Lumpur,3.15232,101.69397,5159.0,1315.1174,320.7468,6322720.683,2386959.7899
Toronto,NAM,3,CAN,Toronto Old City Hall,43.65263,-79.38175,3516.0,2017.4336,219.5945,6023837.8586,1223306.2817
Montreal,NAM,3,CAN,Hôtel de ville de Montréal,45.50891,-73.55433000000001,4400.0,976.7789,274.8959,3098937.701,1501831.4683
Calgary,NAM,3,CAN,Calgary City Hall,51.04603,-114.05758999999999,4683.0,460.7511,293.1674,1024356.108,614972.8541
New York,NAM,3,USA,New York City Hall,40.71275,-74.0061,5211.0,5213.657,325.2167,15916462.9819,3493743.0656
Los Angeles,NAM,3,USA,Los Angeles City Hall,34.053000000000004,-118.24359,5219.0,5539.0133,325.214,14245289.4476,1769524.6973
Chicago,NAM,3,USA,Chicago City Hall,41.88382,-87.63213,3289.0,3824.5039,205.2614,6756386.5884,1142005.913
Houston,NAM,3,USA,Houston City Hall,29.75998,-95.36906,5216.0,3395.3951,325.0495,4852413.2873,620704.4768
Philadelphia,NAM,3,USA,Philadelphia City Hall,39.95286,-75.16447,5167.0,1499.8447,322.2978,3122950.8678,1219883.7842
Phoenix,NAM,4,USA,Phoenix City Hall,33.44866,-112.07695,4669.0,2296.6012,290.8805,3596291.1553,536914.9541
Portland,NAM,4,USA,Portland City Hall,45.51494,-122.67896999999999,4750.0,946.368,296.7372,1649387.1954,572679.2727
San Antonio,NAM,4,USA,San Antonio City Hall,29.424609999999998,-98.49521999999999,4387.0,871.3206,273.0318,1477978.2901,540374.8441
Dallas,NAM,4,USA,Dallas City Hall,32.776379999999996,-96.7972,4894.0,3689.1553,305.0365,5143325.8147,498708.8936
Mexico City,NAM,3,MEX,Antiguo Palacio del Ayuntamiento,19.431820000000002,-99.1341,5217.0,2101.3026,324.3511,19525345.581,4439993.6996
Buenos Aires,SAM,3,ARG,Palacio Municipal de la Ciudad de Buenos Aires,-34.60828,-58.37379,2902.0,1942.2748,181.3081,13874444.6833,2526668.3157
São Paulo,SAM,3,BRA,Edifício Matarazzo,-23.5475,-46.63726,5211.0,1995.5817,324.1642,19099306.5611,3737309.9067
Rio de Janeiro,SAM,3,BRA,Câmara Municipal do Rio de Janeiro,-22.90997,-43.17665,2007.0,1295.1088,124.8542,9789610.5313,1683528.5036
